sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
		Sturnus vulgaris							http://purl.obolibrary.org/obo/RO_0002470	eats			Taxus baccata																		"Hageneder,ÊF.Ê(2007).ÊYew: a history.ÊUnited Kingdom:ÊSutton."
		Turdus philomelos							http://purl.obolibrary.org/obo/RO_0002471	eats			Taxus baccata																		"Hageneder,ÊF.Ê(2007).ÊYew: a history.ÊUnited Kingdom:ÊSutton."
		Turdus merula							http://purl.obolibrary.org/obo/RO_0002472	eats			Taxus baccata																		"Hageneder,ÊF.Ê(2007).ÊYew: a history.ÊUnited Kingdom:ÊSutton."
		Turdus viscivorus							http://purl.obolibrary.org/obo/RO_0002473	eats			Taxus baccata																		"Hageneder,ÊF.Ê(2007).ÊYew: a history.ÊUnited Kingdom:ÊSutton."
		Turdus iliacus							http://purl.obolibrary.org/obo/RO_0002474	eats			Taxus baccata																		"Hageneder,ÊF.Ê(2007).ÊYew: a history.ÊUnited Kingdom:ÊSutton."
		Turdus torquatus							http://purl.obolibrary.org/obo/RO_0002475	eats			Taxus baccata																		"Hageneder,ÊF.Ê(2007).ÊYew: a history.ÊUnited Kingdom:ÊSutton."
		Erithacus rubecula							http://purl.obolibrary.org/obo/RO_0002476	eats			Taxus baccata																		"Hageneder,ÊF.Ê(2007).ÊYew: a history.ÊUnited Kingdom:ÊSutton."
		Sylvia atricapilla							http://purl.obolibrary.org/obo/RO_0002477	eats			Taxus baccata																		"Hageneder,ÊF.Ê(2007).ÊYew: a history.ÊUnited Kingdom:ÊSutton."
		Chloris chloris							http://purl.obolibrary.org/obo/RO_0002478	eats			Taxus baccata																		"Hageneder,ÊF.Ê(2007).ÊYew: a history.ÊUnited Kingdom:ÊSutton."
		Parus major							http://purl.obolibrary.org/obo/RO_0002479	eats			Taxus baccata																		"Hageneder,ÊF.Ê(2007).ÊYew: a history.ÊUnited Kingdom:ÊSutton."
									http://purl.obolibrary.org/obo/RO_0002480	eats			Taxus baccata																		"Hageneder,ÊF.Ê(2007).ÊYew: a history.ÊUnited Kingdom:ÊSutton."
